X;Y;Tempo;odometro;Distancia;Distancia Total;Velocidade;Consumo;Gasto
2739,99;1315,48;1700091103,00;1,10;1,10;1,10;8,37;0,11;8295826,17
2740,49;1316,44;2,00;2,19;1,19;2,30;11,79;0,12;0,01
2740,97;1317,36;3,00;3,22;1,22;3,52;14,01;0,11;0,01
2741,34;1318,06;4,00;4,02;1,02;4,54;15,97;0,15;0,03
2741,95;1319,23;6,00;5,33;1,33;5,87;17,71;0,13;0,04
2742,40;1320,10;7,00;6,32;1,32;7,18;19,70;0,18;0,05
2742,89;1321,04;8,00;7,37;1,37;8,56;20,90;0,13;0,04
2743,42;1322,04;9,00;8,51;1,51;10,06;22,47;0,17;0,07
2744,27;1323,67;10,00;10,34;1,34;11,40;24,64;0,16;0,07
2744,87;1324,83;11,00;11,65;1,65;13,06;25,93;0,17;0,08
2745,52;1326,06;12,00;13,04;1,04;14,10;27,43;0,18;0,09
2746,20;1327,36;13,00;14,51;1,51;15,61;29,00;0,18;0,10
2746,91;1328,73;14,00;16,05;1,05;16,66;30,60;0,22;0,14
2747,67;1330,18;15,00;17,69;1,69;18,35;32,25;0,19;0,12
2748,47;1331,71;16,00;19,42;1,42;19,77;34,15;0,23;0,16
2748,88;1332,49;17,00;20,30;1,30;21,07;34,26;0,09;0,06
2749,28;1333,27;17,00;21,17;1,17;22,24;34,01;0,00;0,00
2749,69;1334,04;18,00;22,05;1,05;23,29;34,17;0,10;0,08
2750,50;1335,59;19,00;23,80;1,80;25,09;33,98;0,00;0,00
2750,90;1336,38;20,00;25,56;1,56;26,64;34,29;0,06;0,05
2752,13;1338,71;21,00;27,31;1,31;27,96;34,21;0,00;0,00
2752,53;1339,49;21,00;28,19;1,19;29,14;34,10;0,00;0,00
2752,94;1340,27;22,00;29,07;1,07;30,21;34,30;0,11;0,10
2753,75;1341,82;23,00;30,82;1,82;32,03;34,25;0,08;0,08
2754,56;1343,37;24,00;32,56;1,56;33,60;33,96;0,07;0,07
2755,36;1344,91;25,00;34,31;1,31;34,90;34,03;0,08;0,09
2755,77;1345,69;25,00;35,18;1,18;36,09;34,14;0,09;0,10
2756,17;1346,46;26,00;36,06;1,06;37,14;34,11;0,06;0,07
2756,99;1348,02;27,00;37,82;1,82;38,96;34,34;0,08;0,09
2757,80;1349,58;28,00;39,57;1,57;40,53;34,08;0,00;0,00
2758,61;1351,13;29,00;41,32;1,32;41,86;34,30;0,12;0,16
2759,01;1351,90;29,00;42,20;1,20;43,05;33,99;0,00;0,00
2759,42;1352,68;30,00;43,07;1,07;44,12;34,23;0,11;0,15
2760,24;1354,24;31,00;44,83;1,83;45,96;34,21;0,00;0,00
2761,05;1355,80;32,00;46,59;1,59;47,55;34,28;0,05;0,07
2761,86;1357,35;33,00;48,34;1,34;48,89;34,29;0,13;0,19
2762,27;1358,13;34,00;49,22;1,22;50,11;34,11;0,00;0,00
2762,67;1358,91;34,00;50,10;1,10;51,21;34,39;0,12;0,18
2763,49;1360,47;35,00;51,86;1,86;53,07;34,24;0,00;0,00
2764,30;1362,03;36,00;53,62;1,62;54,69;34,20;0,05;0,08
2765,11;1363,58;37,00;55,37;1,37;56,05;34,22;0,09;0,15
2765,52;1364,36;38,00;56,24;1,24;57,30;34,13;0,05;0,09
2765,93;1365,14;38,00;57,12;1,12;58,42;34,29;0,10;0,16
2766,33;1365,91;39,00;58,00;1,00;59,42;34,26;0,06;0,10
2767,15;1367,47;40,00;59,76;1,76;61,18;34,27;0,00;0,00
2767,96;1369,03;41,00;61,51;1,51;62,69;33,93;0,00;0,00
