X;Y;Tempo;odometro;Distancia;Distancia Total;Velocidade;Consumo;Gasto
2739,99;1315,48;1701606527,00;1,10;1,10;1,10;8,37;0,00;8303220,89
2740,49;1316,44;2,00;2,19;1,19;2,30;11,79;0,00;0,01
2740,97;1317,36;3,00;3,22;1,22;3,52;14,01;0,00;0,01
2741,34;1318,06;4,00;4,02;1,02;4,54;15,97;0,00;0,03
2741,95;1319,23;6,00;5,33;1,33;5,87;17,71;0,00;0,04
2742,40;1320,10;7,00;6,32;1,32;7,18;19,70;0,00;0,05
2742,89;1321,04;8,00;7,37;1,37;8,56;20,90;0,00;0,04
2743,42;1322,04;9,00;8,51;1,51;10,06;22,47;0,00;0,07
2744,27;1323,67;10,00;10,34;1,34;11,40;24,64;0,00;0,07
2744,87;1324,83;11,00;11,65;1,65;13,06;25,93;0,00;0,08
2745,81;1326,62;13,00;13,68;1,68;14,73;26,35;0,00;0,05
2746,43;1327,81;14,00;15,02;1,02;15,75;26,17;0,00;0,04
2747,06;1329,02;15,00;16,38;1,38;17,13;26,47;0,00;0,05
2747,37;1329,61;15,00;17,05;1,05;18,17;26,19;0,00;0,00
2748,00;1330,81;16,00;18,40;1,40;19,58;26,41;0,00;0,00
2748,31;1331,41;17,00;19,08;1,08;20,66;26,34;0,00;0,04
2748,93;1332,60;18,00;20,42;1,42;22,08;26,26;0,00;0,07
2749,25;1333,20;18,00;21,10;1,10;23,18;26,38;0,00;0,07
2749,87;1334,40;19,00;22,44;1,44;24,62;26,41;0,00;0,10
2750,18;1334,99;20,00;23,12;1,12;25,74;26,38;0,00;0,06
2750,81;1336,19;21,00;24,47;1,47;27,21;26,29;0,00;0,00
2751,12;1336,79;21,00;25,14;1,14;28,35;26,18;0,00;0,00
2751,75;1337,98;22,00;26,49;1,49;29,85;26,28;0,00;0,00
2752,06;1338,58;23,00;27,17;1,17;31,01;26,34;0,00;0,08
2752,37;1339,17;24,00;28,50;1,50;32,52;26,04;0,00;0,07
2753,61;1341,55;25,00;30,51;1,51;34,03;26,22;0,00;0,09
2754,54;1343,34;27,00;32,54;1,54;35,57;26,42;0,00;0,09
2755,48;1345,13;29,00;34,56;1,56;37,12;26,08;0,00;0,00
2756,41;1346,92;30,00;36,58;1,58;38,70;26,31;0,00;0,13
2757,35;1348,72;32,00;38,61;1,61;40,31;26,44;0,00;0,13
2758,29;1350,52;33,00;40,63;1,63;41,94;26,37;0,00;0,17
2759,23;1352,32;35,00;42,66;1,66;43,60;26,51;0,00;0,11
2759,86;1353,51;36,00;44,01;1,01;44,61;26,37;0,00;0,12
2760,48;1354,70;37,00;45,35;1,35;45,96;26,16;0,00;0,00
2760,79;1355,30;37,00;46,03;1,03;46,99;26,30;0,00;0,14
2761,41;1356,50;38,00;47,38;1,38;48,37;26,38;0,00;0,15
2761,73;1357,10;39,00;48,05;1,05;49,42;26,34;0,00;0,11
